,word,showCount,id,translation
20,school,38,2665976,"n. 学校, 鱼群, 门派, 学派\nvt. 教育, 训练, 培养\nvi. 成群地游"
85,generation,29,1222329,"n. 一代, 一世, 产生\n[医] 生殖, 世代"
56,don,26,873146,"n. 西班牙贵族(或绅士), 先生, 阁下\nvt. 穿上"
72,economy,18,932196,"n. 经济, 理财, 节约\n[医] 经济, 整体"
189,guilt,18,1305410,"n. 罪行, 内疚\n[法] 罪, 犯罪, 罪行"
159,corporate,17,675700,"a. 社团的, 合伙的, 公司的\n[经] 团体的, 法人的, 社团的"
104,lot,15,1753449,"n. 运气, 签, 抽签, 份额, 许多, 一堆\nvt. 划分\nvi. 抽签, 抓阄"
78,recession,15,2509907,"n. 后退, 凹处, 衰退, 归还\n[医] 退缩"
60,approach,15,170268,"n. 接近, 入门\nvt. 接近, 近似, 找...商量\nvi. 靠近"
101,impact,14,1467509,"n. 冲击, 冲突, 影响, 效果\nvt. 挤入, 撞击, 压紧, 对...发生影响"
2,taking,14,2998028,"n. 取得, 捕获, 进款\na. 迷人的, 可爱的, 会传染的"
86,tend,13,3027381,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意\nvt. 照料, 护理"
233,significant,13,2762622,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
116,address,13,52367,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址"
463,formation,12,1152322,"n. 形成, 构造, 编队\n[医] 形成, 结构"
87,hold,11,1397538,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁\nvt. 保存, 握住, 拿住, 占据, 持有, 拥有\nvi. 支持, 持续, 有效\nn. 保留\n[计] 保留"
61,moment,11,1931377,"n. 片刻, 瞬间, 重要, 阶段, 力矩\n[医] 片刻, 瞬间, 时机, 因素, 矩"
44,control,11,658096,"n. 控制, 管理, 克制, 控制器, 操纵装置\nvt. 控制, 操纵, 抑制\n[计] 控制; 控制器"
200,obesity,11,2095400,"n. 肥胖\n[医] 肥胖, 多脂"
255,individual,11,1490895,"n. 人, 个人, 个体\na. 个别的, 个人的, 独特的"
52,court,10,690891,"n. 法院, 庭院, 奉承\nvt. 献殷勤, 追求, 招致\nvi. 求爱"
527,zone,10,3399153,"n. 地带, 带, 地区\nvt. 环绕, 使分成地带\nvi. 分成区\n[计] 卡片顶部的三行区; 区; 区域"
344,estate,10,1011955,"n. 不动产, (人生的)阶段, 阶层, 财产\n[经] 房地产, 遗产, 财产"
183,decline,10,771396,"n. 衰退, 跌落, 下降\nvt. 使降低, 婉谢\nvi. 下降, 衰落, 偏斜"
93,available,9,231737,"a. 可利用的, 可获得的, 有效的\n[医] 有效的, 可得的"
112,choice,9,537487,"n. 选择, 精选品, 选择权\na. 精选的, 挑三拣四的, 上等的\n[计] DOS内部命令:在批处理文件中\n该命令用于提示用户作出选择, 决定批处理文件的流程"
96,bit,9,335048,"n. 少量, 马嚼子, 辅币\nvt. 给马上嚼子, 控制\nbite的过去式和过去分词\n[计] 比特, 二进制数位, 机内测试"
134,flight,9,1123963,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝\nvi. 迁徙\nvt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
321,fast,8,1068683,"a. 快速的, 紧的\nadv. 很快地, 紧紧地, 彻底地\nn. 绝食, 斋戒\nvi. 绝食, 斋戒"
182,issue,8,1563828,"n. 发行, 问题, 后果, 流出, 出口, 争端\nvi. 发行, 流出, 造成...结果, 传下\nvt. 使流出, 放出, 发行, 发布, 发给"
92,defined,8,778169,"a. 清晰的, 轮廓分明的；有定义的, 确定的"
304,access,8,29098,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取"
235,scale,8,2657886,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢\nvt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤\nvi. 剥落, 生水垢, 重量为, 攀登, 衡量\n[计] 刻度"
421,gene,8,1218774,n. 基因\n[化] 基因(遗传因子)
644,sport,8,2859300,"n. 运动, 游戏, 娱乐, 消遣, 玩笑\na. 运动的, 户外穿戴的\nvi. 游戏, 参加体育运动, 戏弄, 产生变种\nvt. 炫耀, 使产生变种"
35,academic,8,26361,"a. 学院的, 学术的, 不切实际的\nn. 大学生, 大学教师, 学者, 学会会员"
119,hide,8,1376359,"n. 兽皮, 迹象, 躲藏处\nvt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏\nvi. 躲藏\n[计] 隐藏"
8,contrast,7,657521,"n. 差别, 对比, 对照物\nvt. 使对比\nvi. 成对照\n[计] 反差; 对比度"
270,stock,7,2905444,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目\na. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的\nvt. 装把手于, 进货, 备有, 放牧\nvi. 出新芽, 备货, 囤积"
7,particular,7,2216501,"n. 一项(或条、点), 个别项目, 详细说明\na. 特别的, 独有的, 挑剔的, 详尽的"
222,critical,7,704348,"a. 批评的, 决定性的, 危险的, 临界的\n[医] 危象的; 临界的, 极期的"
434,limited,7,1711356,"a. 有限制的, 有限的, 有限责任的\nn. 特别快车"
774,plastic,7,2308218,"n. 塑料, 可塑体, 可塑性物质\na. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
147,potential,7,2357303,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位\na. 有潜力的, 可能的, 潜在的"
538,involved,7,1546633,"a. 难懂的, 复杂的, 不易懂的, 卷入...之中的, 累及..., 与...有关, 被纠缠的\n[计] 包含, 涉及"
68,promote,7,2408405,"vt. 促进, 晋升, 创办, 推销\n[经] 促进, 推广, 推销"
39,desperate,7,803663,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
262,appropriate,7,170548,"a. 适当的\n[经] 适当的, 拨出, 占用"
350,trend,7,3137954,"n. 趋势, 倾向, 走向\nvi. 倾向, 转向\n[计] 趋势"
118,avoid,7,234711,"vt. 避免, 防止, 撤消\n[法] 避免, 回避, 躲开"
167,capacity,7,453080,"n. 容量, 能力, 才能, 资格\n[计] 容量"
21,essential,6,1011271,"n. 要素, 要点, 本质\na. 必要的, 重要的, 本质的\n[计] 本质冒险"
45,habitat,6,1314034,"n. 栖息地, 居留地, 自生地, 聚集处\n[医] 习生地, 产地, 生境, 栖所"
229,boost,6,366266,"n. 推进, 吹捧\nvt. 推进, 提高, 宣扬, 促进"
202,obese,6,2095379,a. 肥胖的\n[医] 肥胖的
427,supreme,6,2961984,"n. 至高, 霸权\na. 至高的, 终极的, 极端的, 最大的"
326,ensure,6,987401,"vt. 确定, 保证, 担保, 保护\n[经] 确保, 确定"
185,unique,5,3210831,"a. 独一无二的, 独特的, 稀罕的"
81,affordable,5,68285,[计] 普及型
133,debate,5,766173,"n. 辩论, 讨论\nv. 争论, 辩论"
437,mean,5,1843608,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的\nvt. 意谓, 想要, 意欲, 预定\nvi. 用意, 有意义\nn. 平均数, 中间, 中庸"
810,rat,5,2491953,"n. 鼠, 卑鄙的人, 破坏者, 变节者\nvi. 捕鼠, 变节\nvt. 弄蓬松"
180,involuntary,5,1546422,"a. 自然而然的, 无意识的, 不知不觉的, 偶然的, 不随意的\n[医] 不随意的"
120,executive,5,1032304,"n. 执行部门, 执行委员会, 执行者, 经理主管人员\na. 执行的, 善于执行的, 善于经营的\n[计] 执行程序"
242,response,5,2558124,"n. 反应, 回答, 响应\n[计] 应答"
330,illegal,5,1461119,"a. 违法的, 不合规定的\n[经] 非法的, 犯规的"
419,myriad,5,1985002,"n. 无数, 无数的人(或物)\na. 无数的, 种种的"
252,automation,5,228431,"n. 自动化, 自动操作\n[计] 自动学; 自动化"
368,confidence,5,637772,n. 信心\n[电] 可靠
442,elite,5,963324,"n. 精华, 精锐, 中坚分子"
65,demand,5,786957,"n. 要求, 需求, 需要\nv. 要求, 查询"
27,packed,5,2186060,"a. 充满...的, 满座的, 挤得满满的, 压坚实的, 塞满了...的, 挤满了人的, 拥挤的\n[计] 压缩的, 装配的"
303,eliminate,5,963012,"vt. 除去, 排除, 剔除, 消除"
191,constant,5,646014,"n. 常数, 恒量\na. 不变的, 一定的, 时常的\n[计] 常量; 常数; 恒值"
533,remains,5,2539996,"n. 剩余物, 废墟, 残余\n[法] 遗体, 尸体, 遗骸"
57,minutes,5,1910110,"n. 会议记录\n[法] 备忘录, 会议记录, 审判记录"
54,appeal,5,167382,"n. 恳求, 诉请, 上诉, 吸引力\nvi. 呼吁, 诉请, 要求, 上诉, 有吸引力\nvt. 将...上诉"
19,lean,4,1679053,"n. 瘦肉, 倾斜, 倾斜度\na. 瘦的, 贫乏的, 歉收的\nvi. 倚靠, 倾斜, 依赖\nvt. 使倾斜"
107,budget,4,406822,"n. 预算\nvi. 编预算\nvt. 编入预算, 安排\na. 廉价的"
338,prone,4,2408902,"a. 俯伏的, 面向下的, 有...倾向的\n[医] 旋前的, 伏的, 俯的"
334,multiple,4,1967506,"n. 倍数, 并联\na. 多样的, 许多的, 多功能的"
560,epidemic,4,994662,"n. 传染病, 流行病\na. 流行的, 传染性的"
478,table,4,2989306,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层\nvt. 搁置, 嵌合, 制表, 把...列入议事日程\n[计] 表格, 模拟运算表"
207,threat,4,3067929,"n. 恐吓, 恶兆, 威胁\n[经] 威胁"
565,weather,4,3319291,"n. 天气, 气象, 处境\na. 迎风的\nvt. 使受风吹雨打, 侵蚀, 使风化, 经受住\nvi. 风化, 受侵蚀, 经受风雨"
581,fell,4,1078726,"vt. 击倒\nn. 一季所伐的木材, 折缝\na. 凶猛的, 可怕的\nfall的过去式"
645,produce,4,2399875,"n. 生产品, 物产, 后代\nvt. 产生, 生产, 提出, 出示\nvi. 生产, 制造"
424,genetic,4,1223088,"a. 创始的, 遗传的, 起源的, 遗传学的\n[医] 生殖的, 遗传的"
655,verbal,4,3264788,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的\n[医] 言语的, 口述的"
14,desirable,4,802497,"a. 令人想望的, 可取的"
361,commission,4,611232,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事\nvt. 委任, 委托制作, 使服役"
329,rigid,4,2582775,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
12,measured,4,1845550,"a. 整齐的, 慎重的, 基于标准的"
221,purchase,4,2440749,"n. 购买, 购买品, 紧握, 绞辘\nvt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
9,sufficient,4,2943770,"a. 充分的, 足够的\n[法] 充分的, 足够的"
448,explore,4,1039561,"v. 探险, 探测, 探究"
292,district,4,859994,"n. 区域, 地方\n[医] 地区, 地段"
140,previous,4,2384229,"a. 早先的, 前面的, 过急的\n[法] 以前的, 生前的, 前述的"
673,helping,4,1360253,"n. 帮助, 协助, 一份"
201,square,4,2865707,"n. 正方形, 街区, 广场, 平方, 直角尺\na. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的\nadv. 成直角地, 对准地\nvi. 一致, 符合, 结清\nvt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
715,combat,4,604937,"n. 争斗, 战斗\nvi. 战斗, 争斗\nvt. 与...战斗, 与...斗争"
310,reverse,4,2566855,"n. 相反, 背面, 倒退, 挫折, 失败\na. 反面的, 相反的, 反向的, 颠倒的\nvt. 使颠倒, 使逆转, 使倒退, 使反向\nvi. 倒退, 反向, 倒转, 反转\n[计] 反转"
493,enormous,4,986258,"a. 巨大的, 庞大的"
594,context,4,652375,"n. 上下文, 背景, 来龙去脉\nn. 上下文\n[计] 上下文"
84,cross,4,706872,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交\na. 生气的, 交叉的, 相反的\nv. 交叉, 横过, 越过\n[计] 交叉, 十字标"
521,mechanical,4,1846994,"a. 机械的, 机械性的, 力学的\n[医] 机械的, 力学的"
311,sensitive,4,2712511,"a. 敏感的, 易感的, 灵敏的, 感光的\n[机] 敏感的, 灵敏的, 感度高的"
595,motivation,4,1949372,"n. 动机, 刺激, 推动\n[医] 促动, 推动, 诱导"
613,trial,4,3139363,"n. 审判, 试验, 艰苦, 麻烦事, 考验\na. 审讯的, 试验性的"
383,shelter,4,2738550,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽\nvt. 庇护, 保护, 隐匿\nvi. 躲避"
408,perception,4,2243832,"n. 知觉, 感觉, 领悟力, 获取\n[医] 知觉"
313,dominant,4,872563,"a. 占优势的, 支配的\n[医] 优性的, 显性的"
173,foster,4,1156714,"a. 收养的, 养育的\nvt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
395,ritual,3,2588068,"n. 仪式, 典礼, 宗教仪式\na. 仪式的, 依仪式进行的"
372,anonymity,3,145446,"n. 匿名, 姓氏不明\n[计] 匿名信件"
436,lengthy,3,1688284,"a. 冗长的, 漫长的"
407,blue,3,351089,"n. 蓝色\na. 蓝色的, 下流的, 忧郁的\nvt. 染成蓝色\nvi. 变蓝"
155,depressed,3,796118,"a. 沮丧的, 降低的\n[医] 抑郁的, 阻抑的, 压低的, 凹[陷]的, 扁平的"
336,tolerance,3,3098057,"n. 宽容, 忍受, 容忍, 容许量, 公差\n[计] 允许误差"
335,accomplish,3,30933,"vt. 完成, 达到, 实现, 使完美"
364,massive,3,1828566,"a. 大而重的, 宽大的, 宏伟的\n[医] 大块的, 整块的, 大量的"
154,original,3,2149118,"a. 最初的, 原始的, 有创意的\nn. 原物, 原作"
770,import,3,1470739,"n. 进口货, 进口, 输入, 含义, 重要性\nvt. 输入, 引入, 进口, 含...的意思, 重要\nvi. 有关系\n[计] 引入"
801,addition,3,51436,"n. 加法, 增加的人(或物)\n[计] 加法"
171,objective,3,2096125,"n. 目的, 目标, 宗旨, 宾格, 实物\na. 客观的, 如实的, 无偏见的, 宾格的"
382,guy,3,1309389,"n. 家伙, 支索\nvt. 用支索撑住, 取笑, 嘲弄\nvi. 逃跑"
196,assume,3,203651,"vt. 假定, 承担, 呈现\nvi. 装腔作势, 僭越"
354,impulsive,3,1472999,"a. 冲动的, 受感情驱使的, 任性的\n[医] 冲动的"
205,facilities,3,1054017,"n. 工具, 设施, 设备"
206,campaign,3,445419,"n. 战役, 运动, 竞选运动\nvi. 参加运动, 作战"
169,absorb,3,23773,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收"
243,intellectual,3,1519976,"n. 有知识者, 知识分子, 凭理智做事者\na. 智力的, 用脑力的, 聪明的"
176,fundamental,3,1188903,"n. 基本原理, 原则, 基波\na. 基本的, 重要的, 原音的"
190,appreciate,3,170085,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏\nvi. 增值, 涨价"
358,legislation,3,1685393,"n. 立法, 法律\n[医] 立法, 法规"
209,straightforward,3,2913393,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
157,indifferent,3,1489331,"a. 漠不关心的, 无重要性的, 中立的\n[医] 中性的, 无作用的, 无亲和力的, 淡漠的"
210,settled,3,2725299,"a. 固定的, 决定的, 持续的, 难以消除的\n[经] 付讫的, 固定的, 结过帐的"
343,associate,3,202753,"n. 同伴, 伙伴, 关联的事物\nvt. 使联合, 使发生联系\nvi. 交往\n[计] 关联"
232,identify,3,1455436,"vt. 识别, 认为...等同于, 确定, 使参与\nvi. 一致, 认同"
290,embrace,3,967268,"n. 拥抱\nvt. 拥抱, 互相拥抱, 包含, 收买\nvi. 拥抱"
289,waste,3,3307234,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物\na. 废弃的, 荒芜的, 多余的\nvt. 浪费, 消耗, 使荒芜\nvi. 浪费, 消耗, 变消瘦"
505,affected,3,67445,"a. 假装的, 做作的, 受影响的"
80,overwhelming,3,2176984,"a. 压倒性的, 无法抵抗的"
508,depression,3,796185,"n. 不景气, 消沉, 沮丧, 洼地\n[医] 抑郁[症], 阻抑, 压低, 凹, 窝, 衰退, 俯角"
756,drought,3,899393,"n. 干旱, 缺乏"
74,retiring,3,2562974,"a. 行将隐退的, 行将退休的, 就寝的"
73,poll,3,2330827,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉\nvt. 对...进行民意测验, 获得...票, 剪树枝, 轮询\nvi. 投票\na. 剪过毛的, 修过枝的\n[计] 轮询"
517,presentation,3,2378448,"n. 赠与, 描述, 介绍\n[计] 简报"
267,urgent,3,3233576,"a. 紧急的, 急迫的, 催逼的\n[经] 紧急的, 急迫的"
59,inclined,3,1481956,"a. 倾向于...的, 想要...的, 可能的, 趋向于...的"
273,labour,3,1645659,"n. 劳动, 努力, 工作, 劳工, 分娩\nvi. 劳动, 努力, 苦干\nvt. 详细分析, 使厌烦"
600,crest,3,701632,"n. 冠, 饰毛, 头盔的顶部\nvi. 到达绝顶\nvt. 加以顶饰"
598,subtle,3,2940444,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的\n[医] 锐敏的; 精细的"
47,restore,3,2559306,"vt. 回复, 恢复, 归还, 修补, 修复\nvt. 还原\nvi. 还原\n[计] 还原; DOS外部命令:从备份盘中取回文件"
36,innovative,3,1508508,"a. 革新的, 创新的, 富有革新精神的"
278,interference,3,1525443,"n. 冲突, 干涉\n[计] 干扰"
299,scheme,3,2663441,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋\nv. 计划, 设计, 图谋, 策划\n[计] Scheme 程序设计语言"
280,peak,3,2229664,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌\na. 最高的, 最大值的\nvi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小\nvt. 使竖起, 使达到最高点"
298,perspective,3,2255921,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图\na. 透视的, 透视法的\n[计] 透视"
295,collection,3,597046,"n. 收集, 采集, (一批)收藏品, 募捐\n[医] 收集; 收集品, 标本"
559,swine,3,2972973,"n. 猪, 卑鄙的家伙"
561,alert,3,93788,"a. 警觉的, 灵敏的, 留心的\nn. 警报\nvt. 使警觉, 通知, 使意识到"
22,exposure,3,1041154,"n. 暴露, 揭发, 揭露\n[化] 曝光量; 照射; 照射量"
566,vaccine,3,3242516,"n. 牛痘苗, 疫苗\na. 疫苗的, 牛痘的"
15,sociable,3,2809539,"a. 好交际的, 社交的, 过社会生活的\nn. 联谊会"
578,momentum,3,1931703,"n. 动力, 动量\n[化] 动量"
10,optimism,3,2139781,"n. 乐观主义, 乐观, 乐天\n[医] 乐观主义, 乐观"
6,forward,3,1155130,"a. 向前的, 早的, 迅速的, 在前的, 进步的\nvt. 促进...的生长, 转寄, 运送\nadv. 向前地\n[计] 前推, 转信"
4,sentiment,3,2713533,"n. 感情, 感伤, 情操, 情绪, 感想, 意见\n[医] 情感, 情操"
506,crucial,3,712586,"a. 决定性的, 重要的, 严厉的\n[医] 十字形的; 决断的, 定局的"
511,phrase,3,2277441,"n. 惯用语, 词组, 成语, 措词, 乐句\nvt. 用短语表达, 把(乐曲)分成短句\n[计] 短语"
89,attach,3,213752,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚\nvi. 附属, 归属, 联系在一起\n[计] 挂接服务器命令, 关联, 挂接, 附加"
106,random,3,2486895,"n. 随意, 随机\na. 任意的, 随便的, 胡乱的, 随机的\nadv. 胡乱地"
663,interaction,3,1522096,"n. 交互作用, 交感\n[计] 交互作用"
331,brand,3,383514,"n. 商标, 牌子, 烙印\nvt. 打烙印于"
662,ideology,3,1455793,"n. 思想体系, 意识形态, 观念学, 空论\n[医] 观念学, 观念形态"
450,impose,3,1471201,"vt. 征(税), 把...强加于, 以...欺骗\nvi. 利用, 欺骗, 施加影响"
131,boring,3,368562,"a. 烦人的, 无聊的, 无趣的\n[机] 成孔期, 搪孔"
452,marked,3,1820757,"a. 有记号的, 显著的, 醒目的\n[化] 有记号的; 显著的"
658,feedback,3,1076604,"n. 反馈, 反应\n[计] 反馈"
128,thrive,3,3071991,"vi. 繁荣, 兴旺, 茁壮成长\n[经] 兴旺, 繁荣, 旺盛"
643,legacy,3,1684136,"n. 祖先传下来之物, 遗赠物\n[经] 遗产, 遗赠物"
117,prospect,3,2413741,"n. 景色, 展望\nvt. 勘探, 勘察\nvi. 勘探, 有前途"
254,vulnerable,3,3295042,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的\n[医] 易损的"
365,exception,3,1028957,"n. 例外, 除外, 异议\n[计] 例外; 异常"
325,accelerate,3,27717,"v. 加速, 促进"
488,equivalent,3,1001874,"n. 同等物, 等价物, 相等物\na. 相等的, 相当的, 同意义的\n[计] 等价的"
256,initiative,3,1505376,"n. 主动行动, 首创精神, 主动权\na. 自发的, 起始的"
323,moderate,3,1923867,"a. 适度的, 稳健的, 中等的, 节制的\nvt. 节制, 减轻, 使缓和\nvi. 变缓和, 主持会议"
98,acknowledge,3,38627,"vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知"
91,priority,3,2392941,"n. 优先权, 优先\n[计] 优先级"
497,remove,3,2542686,"vt. 移动, 调动, 除去, 迁移, 开除, 移交\nvi. 迁移, 移动, 搬家\nn. 班级, 升级, 移动, 搬家, 间距\n[计] 删除"
