word,showCount,translation
school,89,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
choice,70,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
[计] DOS内部命令:在批处理文件中
该命令用于提示用户作出选择, 决定批处理文件的流程"
don,67,"n. 西班牙贵族(或绅士), 先生, 阁下
vt. 穿上"
economy,51,"n. 经济, 理财, 节约
[医] 经济, 整体"
control,47,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
[计] 控制; 控制器"
generation,44,"n. 一代, 一世, 产生
[医] 生殖, 世代"
tend,44,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
available,42,"a. 可利用的, 可获得的, 有效的
[医] 有效的, 可得的"
individual,35,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
intellectual,35,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
lot,33,"n. 运气, 签, 抽签, 份额, 许多, 一堆
vt. 划分
vi. 抽签, 抓阄"
capacity,32,"n. 容量, 能力, 才能, 资格
[计] 容量"
period,32,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
mean,31,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
taking,29,"n. 取得, 捕获, 进款
a. 迷人的, 可爱的, 会传染的"
particular,29,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
decline,29,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
produce,28,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
approach,28,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
issue,27,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
limited,27,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
significant,27,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
essential,26,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
[计] 本质冒险"
moment,25,"n. 片刻, 瞬间, 重要, 阶段, 力矩
[医] 片刻, 瞬间, 时机, 因素, 矩"
trend,25,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
[计] 趋势"
appropriate,25,"a. 适当的
[经] 适当的, 拨出, 占用"
access,24,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
[计] 访问, 存取"
potential,24,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
productivity,24,"n. 生产力
[经] 生产率, 生产能力"
marked,24,"a. 有记号的, 显著的, 醒目的
[化] 有记号的; 显著的"
patent,23,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
court,23,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
corporate,22,"a. 社团的, 合伙的, 公司的
[经] 团体的, 法人的, 社团的"
inflation,22,"n. 胀大, 夸张, 通货膨胀
[化] 充气吹胀; 膨胀"
demand,21,"n. 要求, 需求, 需要
v. 要求, 查询"
status,21,"n. 状态, 情形, 地位, 要人身份
[计] 状态"
address,20,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
[计] 地址, 寻址"
fell,20,"vt. 击倒
n. 一季所伐的木材, 折缝
a. 凶猛的, 可怕的
fall的过去式"
stock,20,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
involved,20,"a. 难懂的, 复杂的, 不易懂的, 卷入...之中的, 累及..., 与...有关, 被纠缠的
[计] 包含, 涉及"
critical,19,"a. 批评的, 决定性的, 危险的, 临界的
[医] 危象的; 临界的, 极期的"
genetic,19,"a. 创始的, 遗传的, 起源的, 遗传学的
[医] 生殖的, 遗传的"
exceptional,19,"a. 例外的, 异常的, 特别的"
guilt,19,"n. 罪行, 内疚
[法] 罪, 犯罪, 罪行"
fast,19,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
avoid,19,"vt. 避免, 防止, 撤消
[法] 避免, 回避, 躲开"
subject,19,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
[计] 主题, 主体"
obvious,18,"a. 明显的, 明白的, 显然的, 平淡无奇的"
unique,18,"a. 独一无二的, 独特的, 稀罕的"
original,18,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
impact,18,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
formation,17,"n. 形成, 构造, 编队
[医] 形成, 结构"
recession,16,"n. 后退, 凹处, 衰退, 归还
[医] 退缩"
academic,16,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
hold,16,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
[计] 保留"
weather,16,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
remains,15,"n. 剩余物, 废墟, 残余
[法] 遗体, 尸体, 遗骸"
debate,15,"n. 辩论, 讨论
v. 争论, 辩论"
scale,15,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
[计] 刻度"
response,15,"n. 反应, 回答, 响应
[计] 应答"
flight,15,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
movement,15,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
[医] 运动"
bit,14,"n. 少量, 马嚼子, 辅币
vt. 给马上嚼子, 控制
bite的过去式和过去分词
[计] 比特, 二进制数位, 机内测试"
sufficient,14,"a. 充分的, 足够的
[法] 充分的, 足够的"
outline,14,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
[计] 大纲, 分级, 轮廓"
confidence,14,"n. 信心
[电] 可靠"
ready,14,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
minutes,14,"n. 会议记录
[法] 备忘录, 会议记录, 审判记录"
intellect,14,"n. 智力, 出众的才华, 知识分子
[医] 智力, 才智"
appeal,13,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
defined,13,"a. 清晰的, 轮廓分明的；有定义的, 确定的"
sensitive,13,"a. 敏感的, 易感的, 灵敏的, 感光的
[机] 敏感的, 灵敏的, 感度高的"
contrast,13,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
[计] 反差; 对比度"
infer,12,"vt. 推论出, 推断
vi. 作推论"
radiation,12,"n. 辐射
[化] 放射"
substance,12,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
[化] 物质"
humor,12,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
settled,12,"a. 固定的, 决定的, 持续的, 难以消除的
[经] 付讫的, 固定的, 结过帐的"
mechanical,12,"a. 机械的, 机械性的, 力学的
[医] 机械的, 力学的"
crude,12,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
religion,12,"n. 宗教, 信仰
[法] 宗教, 宗教信仰, 信仰"
estate,12,"n. 不动产, (人生的)阶段, 阶层, 财产
[经] 房地产, 遗产, 财产"
forward,12,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
[计] 前推, 转信"
detection,12,"n. 发现, 察觉, 探测
[计] 检波; 检测"
definition,12,"n. 定义, 精确度, 清晰度
[计] 清晰度; 清晰度"
threat,12,"n. 恐吓, 恶兆, 威胁
[经] 威胁"
discipline,11,"n. 训练, 纪律
vt. 训练, 惩罚"
supreme,11,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
elite,11,"n. 精华, 精锐, 中坚分子"
die,11,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
safe,11,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
anthropology,11,"n. 人类学
[医] 人类学"
measured,11,"a. 整齐的, 慎重的, 基于标准的"
draft,11,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
[计] 草稿"
obesity,11,"n. 肥胖
[医] 肥胖, 多脂"
zone,11,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
[计] 卡片顶部的三行区; 区; 区域"
constant,11,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
[计] 常量; 常数; 恒值"
institution,11,"n. 机构, 惯例, 制度
[医] 机关, 机构, 设施"
credit,11,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
[计] 信用量"
verbal,11,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
[医] 言语的, 口述的"
fundamental,11,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
sport,11,"n. 运动, 游戏, 娱乐, 消遣, 玩笑
a. 运动的, 户外穿戴的
vi. 游戏, 参加体育运动, 戏弄, 产生变种
vt. 炫耀, 使产生变种"
desirable,11,"a. 令人想望的, 可取的"
phrase,11,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
[计] 短语"
panel,10,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
transport,10,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
[计] 传送"
executive,10,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
[计] 执行程序"
dominant,10,"a. 占优势的, 支配的
[医] 优性的, 显性的"
agreement,10,"n. 同意, 合约, 协议
[经] 契约, 协议, 协定"
identify,10,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
press,10,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
desperate,10,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
illegal,10,"a. 违法的, 不合规定的
[经] 非法的, 犯规的"
trial,10,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
plastic,10,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
random,10,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
enormous,10,"a. 巨大的, 庞大的"
principle,10,"n. 原则, 原理, 主义
[化] 原理"
application,10,"n. 应用, 申请, 志愿书, 应用程序
[计] 应用, 应用程序"
alter,10,v. 改变
helping,10,"n. 帮助, 协助, 一份"
check,9,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
[计] 复选"
innovation,9,"n. 改革, 创新
[法] 创新, 改革, 刷新"
conduct,9,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
gene,9,"n. 基因
[化] 基因(遗传因子)"
commission,9,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
psychology,9,"n. 心理学, 心理状态
[医] 心理学"
legislation,9,"n. 立法, 法律
[医] 立法, 法规"
mere,9,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
ensure,9,"vt. 确定, 保证, 担保, 保护
[经] 确保, 确定"
table,9,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
[计] 表格, 模拟运算表"
promote,9,"vt. 促进, 晋升, 创办, 推销
[经] 促进, 推广, 推销"
elementary,9,"a. 初步的, 基本的
[医] 元素的, 基础的, 初级的"
previous,9,"a. 早先的, 前面的, 过急的
[法] 以前的, 生前的, 前述的"
crucial,9,"a. 决定性的, 重要的, 严厉的
[医] 十字形的; 决断的, 定局的"
abuse,9,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
addition,9,"n. 加法, 增加的人(或物)
[计] 加法"
preserve,9,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
cross,9,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
[计] 交叉, 十字标"
aggressive,9,"a. 侵略的, 挑畔的, 进取的
[法] 侵略的, 爱挑衅的, 行为过火的"
boom,9,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
hide,8,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
[计] 隐藏"
exposure,8,"n. 暴露, 揭发, 揭露
[化] 曝光量; 照射; 照射量"
context,8,"n. 上下文, 背景, 来龙去脉
n. 上下文
[计] 上下文"
affected,8,"a. 假装的, 做作的, 受影响的"
interaction,8,"n. 交互作用, 交感
[计] 交互作用"
boring,8,"a. 烦人的, 无聊的, 无趣的
[机] 成孔期, 搪孔"
severe,8,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
[法] 严厉的, 苛刻的, 严重的"
collection,8,"n. 收集, 采集, (一批)收藏品, 募捐
[医] 收集; 收集品, 标本"
survive,8,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
reflect,8,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
eliminate,8,"vt. 除去, 排除, 剔除, 消除"
telling,8,"a. 有效的, 显著的, 显露内心活动的"
dealing,8,"n. 经营行为, 行为, 交易
[法] 待遇, 处置, 行为"
urgent,8,"a. 紧急的, 急迫的, 催逼的
[经] 紧急的, 急迫的"
track,8,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
[计] 跟踪"
planet,8,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
distant,8,"a. 远的, 疏远的
[经] 远期的"
temporary,8,"a. 暂时的, 临时的
n. 临时工, 临时雇员
[计] 临时"
studied,8,"a. 有计划的, 慎重的"
packed,7,"a. 充满...的, 满座的, 挤得满满的, 压坚实的, 塞满了...的, 挤满了人的, 拥挤的
[计] 压缩的, 装配的"
compete,7,"vi. 竞争, 对抗"
perspective,7,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
[计] 透视"
readily,7,"adv. 迅速地, 轻易地, 乐意地"
shuttle,7,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
priority,7,"n. 优先权, 优先
[计] 优先级"
vulnerable,7,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
[医] 易损的"
feature,7,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
[计] 特性"
ban,7,"n. 禁令
vt. 禁止, 取缔"
unconscious,7,"a. 未意识到的, 无意识的, 无知觉的
[医] 人事不省的, 神志丧失的; 无意识的"
characteristic,7,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
[计] 阶; 指数"
continent,7,"n. 大陆, 洲
a. 自制的"
score,7,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
[计] 得分"
compensate,7,"v. 偿还, 补偿, 付报酬"
multiple,7,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
illustrate,7,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
perception,7,"n. 知觉, 感觉, 领悟力, 获取
[医] 知觉"
objective,7,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
assessment,7,"n. 评估, 估定, 评定的款额
[化] 评估"
revenue,7,"n. 收入, 岁入, 税收, 税务局
[经] 岁入, 税收, 税务局"
impose,7,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
institute,7,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
humanity,7,"n. 人性, 人类, 博爱"
tolerance,7,"n. 宽容, 忍受, 容忍, 容许量, 公差
[计] 允许误差"
liability,7,"n. 责任, 债务, 倾向
[经] 责任, 义务, 负债"
conventional,7,"a. 传统的, 习惯的, 约定的
[经] 惯例的, 常规的, 传统的"
audience,7,"n. 听众, 观众, 读者
[法] 听讼, 观众, 听众"
blueprint,7,"n. 蓝图, 设计图, (周详的)计划
vt. 制成蓝图, 计划"
acquired,7,"a. 获得的, 后天的
[医] 获得的, 后天的"
base,7,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
[计] 基准"
integrated,7,"a. 综合的, 完整的, 互相协调的
[法] 成为整体的, 综合的, 统筹的"
purchase,7,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
boost,7,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
reward,7,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
equivalent,7,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
[计] 等价的"
virtual,7,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
[计] 虚拟"
secure,7,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
initiative,7,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
embryo,7,"n. 胚胎, 胎儿, 胚芽
[医] 胚, 胚胎"
diversity,6,"n. 差异, 多样性
[化] 多样性"
census,6,"n. 户口普查
vt. 实施统计调查"
mechanism,6,"n. 机械, 机构, 结构, 机理, 技巧
[化] 机理; 历程; 机构"
censorship,6,"n. 检查制度
[医] 督察, 监察"
rent,6,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
lean,6,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
surplus,6,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
indifferent,6,"a. 漠不关心的, 无重要性的, 中立的
[医] 中性的, 无作用的, 无亲和力的, 淡漠的"
exception,6,"n. 例外, 除外, 异议
[计] 例外; 异常"
prospect,6,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
artificial,6,"a. 人造的, 假的, 非原地产的
[医] 人工的, 人造的, 伟牟"
justify,6,"vt. 替...辩护, 证明
vi. 证明合法
[计] 段落重排, 两端对齐"
rat,6,"n. 鼠, 卑鄙的人, 破坏者, 变节者
vi. 捕鼠, 变节
vt. 弄蓬松"
smart,6,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的
n. 刺痛, 痛苦
vi. 刺痛"
personalities,6,"n. 人身攻击, 诽谤"
automation,6,"n. 自动化, 自动操作
[计] 自动学; 自动化"
habitat,6,"n. 栖息地, 居留地, 自生地, 聚集处
[医] 习生地, 产地, 生境, 栖所"
accomplish,6,"vt. 完成, 达到, 实现, 使完美"
exact,6,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
mobility,6,"n. 可动性, 流动性, 机动性
[化] 迁移率"
assess,6,"vt. 估定, 对...征税, 评定
[经] 估计, 估价, 确定(税款罚款等)的金额"
rap,6,"n. 轻敲, 拍击, 责骂, 无价值的东西
vt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷
vi. 敲击, 发敲击声, 交谈, 同情
[计] 随机存取程序, 资源分配处理器, 常驻汇编程序"
adjust,6,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
distinction,6,n. 区别
perceive,6,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
profound,6,"a. 极深的, 深厚的, 深刻的, 渊博的"
consequence,6,"n. 结果, 重要性
[法] 结果, 后果, 推断"
shelter,6,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
mode,6,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
[计] 方式; DOS外部命令:设定各种设备命令"
definite,6,"a. 明确的, 一定的
[法] 明确的, 确切的, 一定的"
separate,6,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
